Link, Author
https://x.com/Master001Trade/status/1863621878079766992,Master001Trade
https://x.com/quawmfy/status/1863619886485815518,quawmfy
https://x.com/tomnola95357497/status/1863622460932833423,tomnola95357497
https://x.com/Rockland3030/status/1863622032312721621,Rockland3030
https://x.com/Goodebags/status/1863621085620552063,Goodebags
https://x.com/dford424/status/1863620424824734107,dford424
https://x.com/GT_JTCC/status/1863619951069708697,GT_JTCC
https://x.com/FadeTheSniper1/status/1863620011450908684,FadeTheSniper1
https://x.com/Denero_Crypto/status/1863619918085702099,Denero_Crypto
https://x.com/theMYTHH/status/1863621738350723298,theMYTHH
https://x.com/TRUTHorILL11873/status/1863621868508365263,TRUTHorILL11873
